District_Office,Lat,Lon,Office
Austin TX District Office,31.46139,-100.4356,San Angelo FO
Austin TX District Office,31.0959,-97.3416,Temple FO
Austin TX District Office,31.5194,-97.1988,Waco FO
Dallas TX District Office,32.4525,-99.7328,Abilene FO
Albuquerque NM District Office,32.00282041,-102.0731,Midland FO
San Antonio TX District Office,29.36629501,-100.8930689,Del Rio FO
Albuquerque NM District Office,33.58434,-101.8456,Lubbock AO
Houston TX District Office,30.5616,-96.255,College Station FO
McAllen District Office,27.5066,-99.5104,Laredo FO
San Antonio TX District Office,29.5347,-98.49269,San Antonio DO
Albuquerque NM District Office,31.75931,-106.4822,El Paso AO
Salt Lake City UT District Office,37.108,-113.5791429,St. George FO
Salt Lake City UT District Office,40.7691,-111.8893479,Salt Lake City DO
Salt Lake City UT District Office,42.852,-106.3252,Casper FO
Seattle District Office,61.2144,-149.8857714,Anchorage FO
Phoenix District Office,33.45070612,-112.0753,Phoenix DO
Phoenix District Office,35.18452782,-111.6715512,Flaggstaff FO
Phoenix District Office,32.22149,-110.9752,Tucson AO
Los Angeles District Office,33.76738,-118.1981,Long Beach FO
Sacramento District Office,38.6031622,-121.3969709,Sacramento DO
Sacramento District Office,36.73592,-119.785,Fresno AO
San Diego District Office,32.71678,-117.1678,San Diego DO
West Covina District Office,34.07025,-117.5775,Ontario AO
Sacramento District Office,40.6692,-122.3544,Redding FO
West Covina District Office,34.0718,-117.881,West Covina DO
San Diego District Office,33.77894,-117.889,Orange AO
Los Angeles District Office,34.05050366,-118.2594743,Los Angeles DO
Honolulu District Office,13.4769,144.74,Guam AO
Honolulu District Office,,,Honolulu DO
Portland District Office,43.59200832,-116.2859,Boise FO
Honolulu District Office,15.1905,145.69,Saipan FO
Las Vegas District Office,36.1634,-115.1445,Las Vegas DO
Las Vegas District Office,39.51779296,-119.8262,Reno FO
Portland District Office,45.51626827,-122.6802771,Portland DO
Portland District Office,44.0523,-123.0895367,Eugene FO
Seattle District Office,47.65799,-117.4253,Spokane FO
Seattle District Office,47.25166,-122.439384,Tacoma FO
Seattle District Office,47.67895,-122.2037,Seattle DO
